month,new_customers,repeat_customers,promo_spend,avg_ticket,revenue
2024-01,397,850,1162725,9849,12281703
2024-02,417,796,1240165,9571,11609623
2024-03,423,,1328039,9743,12110549
2024-04,444,802,1299091,9572,11926712
2024-05,477,793,1369910,9545,12122150
2024-06,478,804,1412346,9953,12759746
2024-07,484,765,1323945,,11761833
2024-08,499,775,1446682,9803,12489022
2024-09,490,718,1562834,9577,99999999
2024-10,609,717,1676958,9598,12726948
2024-11,586,745,1585601,9530,12684430
2024-12,588,690,1495752,9872,12616416
2025-01,652,716,1638031,9612,13149216
2025-02,623,704,,9529,12644983
2025-03,643,668,1800129,9691,12704901
2025-04,-5,678,1647490,9734,12868348
2025-05,641,669,1768811,98750,12295660
2025-06,724,661,1785601,9460,13102100
2025-07,759,659,2035059,9450,13400100
2025-08,729,654,2018802,9245,12785835
2025-09,763,651,2071548,9329,13191206
2025-10,752,627,1992738,9578,13208062
2025-11,799,649,2133553,9485,13734280
2025-12,781,612,2113946,9379,13064947
2024-05,477,793,1369910,9545,12122150
